id_cliente;indica_amigo;n_indicacoes;tempo_empresa;ultima_oferta_aceita;contrata_telefonia;tarifa_linha;varias_linhas_telefonicas;internet_da_empresa;tipo_internet;tipo_contrato;faturamento_papel;tipo_pagamento;receita
8779-QRDMV;No;0;1;None;No;0;No;Yes;DSL;Month-to-Month;Yes;Bank Withdrawal;59.65
7495-OOKFY;Yes;1;8;Offer E;Yes;48.85;Yes;Yes;Fiber Optic;Month-to-Month;Yes;Credit Card;1024.1
1658-BYGOY;No;0;18;Offer D;Yes;11.33;Yes;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;1910.88
4598-XLKNJ;Yes;1;25;Offer C;Yes;19.76;No;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;2995.07
4846-WHAFZ;Yes;1;37;Offer C;Yes;6.33;Yes;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;3102.36
4412-YLTKF;No;0;27;Offer C;Yes;3.33;Yes;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;2235.41
0390-DCFDQ;Yes;1;1;Offer E;Yes;15.28;No;Yes;Fiber Optic;Month-to-Month;Yes;Mailed Check;85.73
3445-HXXGF;Yes;6;58;Offer B;No;0;No;Yes;DSL;Month-to-Month;Yes;Bank Withdrawal;2610.25
2656-FMOKZ;No;0;15;Offer D;Yes;44.07;Yes;Yes;Fiber Optic;Month-to-Month;Yes;Mailed Check;1806.75
2070-FNEXE;No;0;7;Offer E;Yes;26.95;No;Yes;Fiber Optic;Month-to-Month;No;Bank Withdrawal;681.2
0094-OIFMO;No;0;11;Offer D;Yes;11.59;No;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;1367.79
9947-OTFQU;No;0;15;Offer D;Yes;29.11;No;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;1510.95
9514-JDSKI;Yes;1;1;Offer E;No;0;No;Yes;DSL;Month-to-Month;No;Bank Withdrawal;40.2
7273-TEFQD;No;0;3;Offer E;No;0;No;Yes;DSL;Month-to-Month;Yes;Bank Withdrawal;132.2
3606-TWKGI;No;0;13;Offer D;Yes;32.68;Yes;Yes;Cable;Month-to-Month;Yes;Bank Withdrawal;1799.14
4385-GZQXV;No;0;16;Offer D;Yes;9.43;No;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;1662.08
3488-PGMQJ;No;0;8;None;Yes;1.78;No;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;620.79
7534-BFESC;No;0;24;Offer C;Yes;30.87;Yes;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;2453.58
8098-LLAZX;No;0;4;Offer E;Yes;31.61;Yes;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;522.54
0265-EDXBD;Yes;2;32;Offer C;Yes;47.34;Yes;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;3818.23
2840-XANRC;Yes;1;24;Offer C;Yes;16.1;No;Yes;Cable;Month-to-Month;Yes;Bank Withdrawal;2617.45
5020-ZSTTY;No;0;54;Offer B;Yes;12.08;Yes;Yes;DSL;One Year;No;Bank Withdrawal;5002.42
5804-LEPIM;No;0;2;Offer E;Yes;13.17;No;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;165.39
9057-MSWCO;No;0;27;None;No;0;No;Yes;Cable;Month-to-Month;No;Credit Card;945.1
4895-TMWIR;Yes;1;11;None;Yes;29.54;No;No;None;Month-to-Month;No;Mailed Check;539.69
0533-BNWKF;Yes;2;55;Offer B;Yes;42.82;Yes;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;7319.8
0334-GDDSO;No;0;3;Offer E;Yes;9.22;Yes;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;261.36
5564-NEMQO;No;0;1;Offer E;Yes;35.09;No;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;130.39
6235-VDHOM;No;0;5;Offer E;No;0;No;Yes;DSL;Month-to-Month;No;Bank Withdrawal;131.05
5609-CEBID;No;0;20;None;Yes;48.73;Yes;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;2837
5956-VKDTT;Yes;4;5;Offer E;Yes;45.76;Yes;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;563.6
0257-ZESQC;Yes;2;27;None;Yes;7.02;No;Yes;Cable;Month-to-Month;Yes;Bank Withdrawal;2118.89
2865-TCHJW;No;0;4;None;Yes;48.35;Yes;Yes;Cable;Month-to-Month;Yes;Bank Withdrawal;539.6
5192-EBGOV;No;0;1;None;Yes;45.81;Yes;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;131.51
