id_cliente;status;categoria_churn;saida_trimestre
8779-QRDMV;Churned;Competitor;Yes
7495-OOKFY;Churned;Competitor;Yes
1658-BYGOY;Churned;Competitor;Yes
4598-XLKNJ;Churned;Dissatisfaction;Yes
4846-WHAFZ;Churned;Price;Yes
4412-YLTKF;Churned;Competitor;Yes
0390-DCFDQ;Churned;Other;Yes
3445-HXXGF;Churned;Dissatisfaction;Yes
2656-FMOKZ;Churned;Dissatisfaction;Yes
2070-FNEXE;Churned;Price;Yes
0094-OIFMO;Churned;Dissatisfaction;Yes
9947-OTFQU;Churned;Competitor;Yes
9514-JDSKI;Churned;Dissatisfaction;Yes
7273-TEFQD;Churned;Price;Yes
3606-TWKGI;Churned;Competitor;Yes
4385-GZQXV;Churned;Competitor;Yes
3488-PGMQJ;Churned;Dissatisfaction;Yes
7534-BFESC;Churned;Competitor;Yes
8098-LLAZX;Churned;Competitor;Yes
0265-EDXBD;Churned;Attitude;Yes
2840-XANRC;Churned;Competitor;Yes
5020-ZSTTY;Churned;Competitor;Yes
5804-LEPIM;Churned;Other;Yes
0623-IIHUG;Churned;Competitor;Yes
9057-MSWCO;Churned;Competitor;Yes
4895-TMWIR;Churned;Competitor;Yes
0533-BNWKF;Churned;Competitor;Yes
0334-GDDSO;Churned;Competitor;Yes
5564-NEMQO;Churned;Dissatisfaction;Yes
6235-VDHOM;Churned;Dissatisfaction;Yes
5609-CEBID;Churned;Competitor;Yes
5956-VKDTT;Churned;Dissatisfaction;Yes
0257-ZESQC;Churned;Attitude;Yes
2865-TCHJW;Churned;Competitor;Yes
5192-EBGOV;Churned;Competitor;Yes
3419-SNJJD;Churned;Attitude;Yes
4554-YGZIH;Churned;Competitor;Yes
5099-BAILX;Churned;Competitor;Yes
4913-EHYUI;Churned;Competitor;Yes
1626-ERCMM;Churned;Competitor;Yes
5644-PDMZC;Churned;Attitude;Yes
4160-AMJTL;Churned;Attitude;Yes
0823-HSCDJ;Churned;Competitor;Yes
0067-DKWBL;Churned;Competitor;Yes
5244-IRFIH;Churned;Other;Yes
2684-EIWEO;Churned;Competitor;Yes
6683-VLCTZ;Churned;Competitor;Yes
0691-IFBQW;Churned;Competitor;Yes
3643-AHCFP;Churned;Competitor;Yes
9231-ZJYAM;Churned;Other;Yes
0727-BMPLR;Churned;Competitor;Yes
0947-MUGVO;Churned;Competitor;Yes
0781-LKXBR;Churned;Competitor;Yes
1907-UBQFC;Churned;Competitor;Yes
6513-EECDB;Churned;Price;Yes
7074-IEVOJ;Churned;Dissatisfaction;Yes
4750-ZRXIU;Churned;Competitor;Yes
7028-DVOIQ;Churned;Other;Yes
4208-UFFGW;Churned;Other;Yes
9889-TMAHG;Churned;Competitor;Yes
8919-FYFQZ;Churned;Competitor;Yes
6646-QVXLR;Churned;Competitor;Yes
9369-XFEHK;Churned;Competitor;Yes
1374-DMZUI;Churned;Competitor;Yes
1989-PRJHP;Churned;Competitor;Yes
4822-RVYBB;Churned;Attitude;Yes
4184-TJFAN;Churned;Attitude;Yes
4145-UQXUQ;Churned;Competitor;Yes
1236-WFCDV;Churned;Competitor;Yes
1271-SJBGZ;Churned;Competitor;Yes
4441-NIHPT;Churned;Competitor;Yes
8999-BOHSE;Churned;Attitude;Yes
7029-RPUAV;Churned;Competitor;Yes
8111-SLLHI;Churned;Attitude;Yes
5293-WXJAK;Churned;Competitor;Yes
4086-YQSNZ;Churned;Attitude;Yes
8399-YNDCH;Churned;Competitor;Yes
5565-FILXA;Churned;Other;Yes
4187-CINZD;Churned;Competitor;Yes
6818-WOBHJ;Churned;Competitor;Yes
9134-CEQMF;Churned;Dissatisfaction;Yes
8519-IMDHU;Churned;Competitor;Yes
3372-KWFBM;Churned;Dissatisfaction;Yes
7206-GZCDC;Churned;Attitude;Yes
1768-ZAIFU;Churned;Competitor;Yes
3793-MMFUH;Churned;Competitor;Yes
6567-HOOPW;Churned;Competitor;Yes
8621-MNIHH;Churned;Competitor;Yes
5419-CONWX;Churned;Competitor;Yes
7024-OHCCK;Churned;Other;Yes
5357-TZHPP;Churned;Attitude;Yes
0506-LVNGN;Churned;Competitor;Yes
9809-IMGCQ;Churned;Competitor;Yes
3254-YRILK;Churned;Competitor;Yes
0529-ONKER;Churned;Attitude;Yes
5240-IJOQT;Churned;Competitor;Yes
0661-XEYAN;Churned;Competitor;Yes
2660-EMUBI;Churned;Competitor;Yes
7675-OZCZG;Churned;Competitor;Yes
9391-EOYLI;Churned;Competitor;Yes
2761-OCIAX;Churned;Competitor;Yes
3068-OMWZA;Churned;Competitor;Yes
4154-AQUGT;Churned;Competitor;Yes
8017-LXHFA;Churned;Competitor;Yes
4248-QPAVC;Churned;Competitor;Yes
4690-LLKUA;Churned;Competitor;Yes
9490-DFPMD;Churned;Competitor;Yes
8580-AECUZ;Churned;Competitor;Yes
5047-LHVLY;Churned;Competitor;Yes
8375-DKEBR;Churned;Competitor;Yes
7279-BUYWN;Churned;Attitude;Yes
7156-MHUGY;Churned;Competitor;Yes
9606-PBKBQ;Churned;Attitude;Yes
3536-IQCTX;Churned;Competitor;Yes
3132-TVFDZ;Churned;Attitude;Yes
8080-DDEMJ;Churned;Attitude;Yes
6702-OHFWR;Churned;Other;Yes
4510-PYUSH;Churned;Attitude;Yes
8840-DQLGN;Churned;Attitude;Yes
4193-ORFCL;Churned;Competitor;Yes
7776-QWNFX;Churned;Attitude;Yes
6689-TCZHQ;Churned;Attitude;Yes
9497-QCMMS;Churned;Competitor;Yes
3424-NMNBO;Churned;Competitor;Yes
4514-GFCFI;Churned;Attitude;Yes
8000-REIQB;Churned;Competitor;Yes
